catalog,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,pm_total_query,cohorts,cohort_ranks,official_best_hip_ids,has_official_best_neighbour,fis_supplemental_hip_ids,has_fis_supplemental_match,any_gaia_hip_hip_ids,has_any_gaia_hip_match,official_neighbourhood_hip_ids
gaia_dr3,4519789081415296128,286.8027296402767,20.875538401484672,2016.0,113.22280917668247,0.0191646,-480.75414112917747,0.015550523,-332.49823071542033,0.016012186,1.0152338,31,0,False,23,0.12310883,0.023880532,1,0,9.805328,3453.0425,11.005343,1537.6229,8.718459,2492.3533,1.3855443,2.2868843,NOT_AVAILABLE,3279.9556,584.5336753701517,8.832142633376241,0.0001692644761033858,,0,,nearest,nearest:216,93899,True,,False,93899,True,93899
gaia_dr3,4519789321942643072,286.7709107522999,20.88648751787881,2016.0,113.25212980007824,0.029636156,-478.2669365898841,0.023181044,-349.0879613011435,0.025486348,0.8074018,95,0,False,23,0.24484326,0.037022296,0,0,9.814883,2198.4783,11.012309,1616.7374,8.729002,2528.9082,1.385077,2.283307,NOT_AVAILABLE,3227.885,592.1162616922971,8.82985601917845,0.0002616829887989616,,0,,nearest,nearest:215,93873,True,,False,93873,True,93873
gaia_dr3,4535928365908541440,280.2932736323553,24.789034718675914,2016.0,100.5552800669169,0.030998288,498.68294703980746,0.026168307,57.12772498923583,0.029139686,1.1926155,31,0,False,30,0.3423651,0.0411914,1,0,12.936422,1634.5077,15.119807,258.36758,11.565019,598.74506,1.5856599,3.5547886,NOT_AVAILABLE,2899.0293,501.9444776374705,9.944778626587548,0.0003082711092032147,,0,,nearest,nearest:310,,False,,False,,False,
gaia_dr3,4542821410453751680,261.9110282533942,14.482331245176582,2016.0,54.098847340833096,0.018441914,-1118.0084498701985,0.016837383,-343.3138811182286,0.017265497,1.2427026,31,0,False,24,0.14434263,0.02524468,0,0,12.499,2829.042,13.990934,640.50085,11.303644,1895.5066,1.449292,2.6872902,NOT_AVAILABLE,3080.8384,1169.5329473553215,18.4846821910975,0.00034089291280555806,,0,1169.5329473553218,high_pm,high_pm:420,,False,,False,,False,
gaia_dr3,4550763526539955712,264.4766236517814,18.596087654354623,2016.0,122.55460651085501,0.017568411,926.6381166366465,0.01580357,984.455172787448,0.018191148,1.121194,31,0,False,24,0.13276337,0.026828054,0,0,8.74288,4388.8857,9.8210335,1999.3165,7.7107677,3090.1616,1.3577348,2.1102657,NOT_AVAILABLE,3631.1428,1351.9653051879236,8.159628009669527,0.00014335170097413413,,0,,nearest;high_pm,nearest:170;high_pm:272,86287,True,,False,86287,True,86287
gaia_dr3,4566158991430299520,252.74157915522798,22.453352014101526,2016.0,95.51988583926105,0.025642665,36.48669154467593,0.019147426,400.12573171212335,0.025936306,1.3037424,31,0,False,29,0.24802586,0.03763781,5,0,12.399279,2371.5134,14.31396,849.4746,11.088376,1749.2158,1.532238,3.225584,NOT_AVAILABLE,3026.5957,401.78586316349964,10.46902423734865,0.00026845368247433685,,0,,nearest,nearest:354,,False,,False,,False,
gaia_dr3,4572835535272627712,254.53630439635958,25.741901295427926,2016.0,96.23334220914137,0.02437334,-115.31383055701954,0.020826563,-508.0870811384355,0.025626974,1.1639711,95,0,False,29,0.22862104,0.03697856,0,0,8.823617,3092.2793,9.900322,981.4914,7.787876,1914.5433,1.3617394,2.1124458,NOT_AVAILABLE,,521.0084083174744,10.391408809503119,0.0002532733346840686,,0,,nearest,nearest:342,83043,True,,False,83043,True,83043
gaia_dr3,4574048021719712640,259.9695666590066,26.502318754868263,2016.0,92.95830529602016,0.030471455,-226.03992337713896,0.02687942,354.9842991855332,0.03439638,1.3778402,31,0,False,28,0.3215688,0.04761933,2,0,11.458686,1704.1517,13.295311,343.92566,10.167203,869.36975,1.5165484,3.128108,NOT_AVAILABLE,,420.84189386108767,10.757511088606444,0.0003277970183382778,,0,,nearest,nearest:385,,False,,False,,False,
gaia_dr3,4588438567346043776,276.5340620561428,30.235540273676598,2016.0,90.08581468837797,0.08324382,-2290.7519787691344,0.08501981,-683.2741440174942,0.09346287,1.2332307,95,0,False,29,0.89526993,0.13319181,1,0,15.930876,957.6279,19.625938,19.02376,14.3860445,278.36053,1.7705244,5.239894,NOT_AVAILABLE,,2390.4828349347217,11.100526797245147,0.0009240502223234876,,0,2390.4828349347217,high_pm;nearest,high_pm:54;nearest:433,,False,,False,,False,
gaia_dr3,4609689240889873280,270.6937243792945,37.512417837636434,2016.0,81.73879260239123,0.019290745,171.18999453078555,0.019471487,-1141.7495139198154,0.021917412,1.1840152,31,0,False,26,0.19112408,0.030889733,1,0,13.079426,1966.8785,15.165963,467.5036,11.746457,955.2753,1.5429418,3.419506,NOT_AVAILABLE,2959.8933,1154.5120037329993,12.234093117381642,0.0002360047737941135,,0,1154.5120037329993,high_pm,high_pm:433,,False,,False,,False,
gaia_dr3,4610177733290768896,272.40410478228273,38.45569569551031,2016.0,90.12337582042167,0.0155898025,-316.45442321519323,0.017659565,-468.3476190825831,0.019876208,1.0380744,31,0,False,22,0.12981665,0.02779632,0,0,6.1298075,5471.494,6.585531,1385.997,5.5021014,925.9866,1.2270312,1.0834298,NOT_AVAILABLE,4914.261,565.2370248601776,11.095900379859087,0.00017298289576947868,,0,,nearest,nearest:432,88972,True,,False,88972,True,88972
