catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,brightest,131,63125,P,95,3,194.00767083,38.31824601,28.41,0.9,-235.08,53.54,2.8471,-0.115,HIP1,241.09985068431712,35.198875,0.031678986,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,132,17702,,5,0,56.87110081,24.10524179,8.09,0.42,19.34,-43.67,2.848,-0.086,HIP1,47.76090974845433,123.60939,0.051915944,,0
hipparcos2,brightest,133,36188,,5,0,111.78780104,8.28940883,20.17,0.2,-51.76,-38.29,2.8546,-0.097,HIP1,64.38339615149235,49.578583,0.009915717,,0
hipparcos2,brightest,134,89931,,5,0,275.24842359,-29.82803949,9.38,0.18,32.54,-25.57,2.8654,1.38,HIP1,41.384495889161194,106.60981,0.019189766,,0
hipparcos2,brightest,135,97165,,15,3,296.24350876,45.13069175,19.77,0.48,44.07,48.66,2.8683,-0.002,HIP1,65.65028941291881,50.581688,0.02427921,hip_solution_type_not_5,1
hipparcos2,brightest,136,97278,,5,0,296.56487586,10.61326857,8.26,0.17,16.99,-2.98,2.8695,1.507,HIP1,17.249362307053556,121.06537,0.020581113,,0
hipparcos2,brightest,137,80331,,5,0,245.99794481,61.51407545,35.42,0.09,-17.02,56.95,2.8717,0.91,HIP1,59.43890056183745,28.23264,0.0025409376,,0
hipparcos2,brightest,138,74946,,5,0,229.72787002,-68.6794674,17.74,0.12,-66.58,-32.31,2.8816,0.014,HIP1,74.00562478622824,56.369785,0.006764374,,0
hipparcos2,brightest,139,18246,,5,0,58.5329938,31.88365779,4.34,0.19,5.77,-9.92,2.898,0.271,HIP1,11.476031544048665,230.41473,0.0437788,,0
hipparcos2,brightest,140,77952,,5,0,238.78670046,-63.42974982,80.79,0.16,-188.66,-401.85,2.9075,0.315,HIP1,443.9324476764455,12.377769,0.001980443,,0
hipparcos2,brightest,141,84345,D,15,3,258.66192746,14.39025294,9.07,1.32,-7.32,36.07,2.9137,1.164,HIP1,36.80526185207762,110.253586,0.14553474,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,brightest,142,30343,,5,0,95.73996356,22.51385018,14.08,0.71,56.39,-110.03,2.9141,1.621,HIP1,123.63831525866081,71.02273,0.050426137,,0
hipparcos2,brightest,143,39757,P,5,0,121.88625905,-24.30443679,51.33,0.15,-83.35,46.23,2.9157,0.458,HIP1,95.31230455717666,19.481783,0.0029222677,hip_component_flag,1
hipparcos2,brightest,144,26451,P,5,5,84.41118462,21.14259289,7.33,0.82,1.78,-20.07,2.9184,-0.148,HIP1,20.148779119341203,136.42564,0.11186903,parallax_frac_error_gt_0p1;hip_component_flag,2
hipparcos2,brightest,145,80112,,15,3,245.29717737,-25.59275251,4.68,0.6,-10.6,-16.28,2.9227,0.299,HIP1,19.426744451914736,213.67522,0.12820514,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,146,82514,,1,5,252.9676623,-38.04732677,6.51,0.91,-10.58,-22.06,2.9245,-0.2,HIP1,24.465894629054542,153.60983,0.13978495,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,147,86742,P,5,0,265.8682371,4.56691702,39.85,0.17,-41.45,159.34,2.9279,1.168,HIP1,164.64306271446728,25.094105,0.0042659976,hip_component_flag,1
hipparcos2,brightest,148,2021,,5,0,6.41334187,-77.25503494,134.07,0.11,2219.54,324.09,2.9305,0.618,HIP1,2243.076489935196,7.45879,0.0008204669,,0
hipparcos2,brightest,149,9236,,75,4,29.69113173,-61.56992473,45.43,0.44,263.66,26.77,2.9305,0.29,HIP1,265.0155250169318,22.011887,0.0096852295,hip_solution_type_not_5,1
hipparcos2,brightest,150,81693,,15,3,250.3228214,31.60188678,93.32,0.47,-461.52,342.28,2.9338,0.65,HIP1,574.5922978947768,10.7158165,0.0050364337,hip_solution_type_not_5,1
hipparcos2,brightest,151,13847,,17,3,44.56548212,-40.30473465,20.23,0.55,-52.89,21.98,2.9378,0.128,HIP1,57.27540920849017,49.431538,0.027187347,hip_solution_type_not_5,1
hipparcos2,brightest,152,80816,D,75,4,247.5552571,21.48964873,23.44,0.58,-99.15,-15.39,2.9378,0.947,HIP1,100.3373041296207,42.662113,0.024744026,hip_solution_type_not_5;hip_component_flag,2
