catalog,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,cohorts,cohort_ranks,official_best_gaia_ids,has_official_best_neighbour,fis_supplemental_gaia_ids,has_fis_supplemental_match,any_gaia_hip_gaia_ids,has_any_gaia_hip_match,official_neighbourhood_gaia_ids
hipparcos2,88348,,5,0,270.62753641,26.31446576,45.21,0.54,389.41,-602.03,7.151,0.799,HIP1,716.9939114106897,22.119001,0.01194426,,0,high_pm,high_pm:458,4582680493669880704,True,,False,4582680493669880704,True,4582680493669880704
hipparcos2,88574,,5,0,271.280191,-3.030511,128.89,1.43,570.26,-333.47,9.432,1.508,HIP1,660.6048050839473,7.758554,0.011094731,,0,nearest,nearest:107,4177731838628465408,True,,False,4177731838628465408,True,4177731838628465408
hipparcos2,88635,,5,0,271.45218573,-30.42365016,33.67,0.18,-53.92,-180.9,3.1356,0.981,HIP1,188.76487067248505,29.700031,0.005346006,,0,brightest,brightest:184,,False,4049975081571729920,True,4049975081571729920,True,
hipparcos2,88714,,5,0,271.65782837,-50.09145456,4.01,0.15,-8.27,-8.7,3.6327,-0.101,HIP1,12.003453669673574,249.37654,0.03740648,,0,brightest,brightest:309,6705977119250947712,True,,False,6705977119250947712,True,6705977119250947712
hipparcos2,88771,,5,0,271.83758628,9.56365363,37.55,0.21,-62.17,79.66,3.7636,0.159,HIP1,101.04862443398227,26.631159,0.005592543,,0,brightest,brightest:354,4482432246132106496,True,,False,4482432246132106496,True,4482432246132106496
hipparcos2,88794,,5,0,271.88562808,28.76247029,9.65,0.16,-0.02,8.55,3.8384,-0.018,HIP1,8.550023391780867,103.626945,0.016580312,,0,brightest,brightest:388,4589549005370416256,True,,False,4589549005370416256,True,4589549005370416256
hipparcos2,88972,,5,0,272.4068833,38.45891533,90.71,0.3,-316.44,-468.47,6.5235,0.876,HIP1,565.3303587284164,11.024143,0.003307243,,0,nearest,nearest:240,4610177733290768896,True,,False,4610177733290768896,True,4610177733290768896
hipparcos2,89211,,5,0,273.08868809,-43.44383339,76.31,1.06,132.57,-417.38,8.4757,1.297,HIP1,437.9279270610633,13.104443,0.013890709,,0,nearest,nearest:352,6721432232656218752,True,,False,6721432232656218752,True,6721432232656218752
hipparcos2,89642,,5,0,274.40720579,-36.7612811,22.35,0.24,-129.56,-166.26,3.1512,1.582,HIP1,210.77993547773943,44.74273,0.0107382545,,0,brightest,brightest:191,,False,,False,,False,
hipparcos2,89931,,5,0,275.24842359,-29.82803949,9.38,0.18,32.54,-25.57,2.8654,1.38,HIP1,41.384495889161194,106.60981,0.019189766,,0,brightest,brightest:134,4049506483413484672,True,,False,4049506483413484672,True,4049506483413484672
