catalog,source_id,cohorts,cohort_ranks,quality_flags,quality_flag_count,pm_total_masyr,r_pc_parallax,parallax_frac_error,phot_g_mean_mag,ruwe,duplicated_source,non_single_star,official_best_hip_ids,fis_supplemental_hip_ids,any_gaia_hip_hip_ids,has_fis_supplemental_match,has_any_gaia_hip_match,official_neighbourhood_hip_ids,Hpmag,Sn,n_HIP,official_best_gaia_ids,fis_supplemental_gaia_ids,any_gaia_hip_gaia_ids,official_neighbourhood_gaia_ids
gaia_dr3,750586216906847104,nearest;high_pm,nearest:289;high_pm:326,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1261.3155899812286,9.732158458529945,0.0039499646682329475,11.625256,10.243021,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,981548637301374336,nearest;high_pm,nearest:230;high_pm:448,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1143.0372259659866,9.023125614476156,0.006266601338224723,11.699139,18.897764,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,1003752587430126464,nearest,nearest:409,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1093.1275264129,10.915690318336269,0.005491842962015421,10.003271,9.051016,False,0.0,,33142,33142,True,True,,,,,,,,
gaia_dr3,1006142960069707648,brightest,brightest:457,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,9.03826410979296,226.77614506602313,0.052893570721012,3.7721922,1.4664271,False,0.0,29919,,29919,False,True,29919,,,,,,,
gaia_dr3,1097353325107339776,high_pm,high_pm:227,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1451.4465595988536,12.289078135450008,0.004765558468975331,13.745982,4.6278543,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,1273423791421021568,brightest,brightest:370,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,222.1973576059665,35.80939523467965,0.034746921937709535,3.6044285,7.2964063,False,0.0,,75695,75695,True,True,,,,,,,,
gaia_dr3,1279798794197267072,brightest,brightest:17,ruwe_gt_1p4;astrometric_excess_noise_gt_1;duplicated_source,3,54.995304572918975,72.32398048821292,0.03540779926066953,2.1833525,3.5287786,True,0.0,72105,,72105,False,True,72105,,,,,,,
gaia_dr3,1312665361414730624,brightest,brightest:97,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,,,,2.7632272,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,1312665361415345920,brightest,brightest:85,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,,,,2.7169063,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,1505343882144388864,brightest,brightest:473,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,32.86802297875209,166.3611080831894,0.025847651295541754,3.792248,2.7602763,False,0.0,69038,,69038,False,True,69038,,,,,,,
gaia_dr3,1510374147844219904,brightest,brightest:3,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,1.881019,,False,0.0,,67301,67301,True,True,,,,,,,,
gaia_dr3,1575287046603605888,brightest,brightest:238,ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,3,104.2651418188914,24.796728386994765,0.0048239465236589,3.3111024,2.6350956,False,1.0,59774,,59774,False,True,59774,,,,,,,
gaia_dr3,1884744525522874880,high_pm,high_pm:331,ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,3,1253.6871714053148,19.979292776639294,0.003856265568627359,15.341885,7.660043,False,1.0,,,,False,False,,,,,,,,
gaia_dr3,1931192500887330688,brightest,brightest:356,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,19.95969658610934,107.46751747311609,0.062143052571804545,3.575974,10.599465,False,0.0,,113726,113726,True,True,,,,,,,,
gaia_dr3,1964791583368233088,brightest,brightest:421,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,,,,3.7045398,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,2026116260337482112,brightest,brightest:74,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,12.164521238314277,111.33918878777867,0.04981467982899365,2.651682,9.432404,False,0.0,,95947,95947,True,True,,,,,,,,
gaia_dr3,2067518817314952576,brightest,brightest:15,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.1137252,,False,0.0,100453,,100453,False,True,100453,,,,,,,
gaia_dr3,2090687795056051328,brightest,brightest:371,ruwe_gt_1p4;astrometric_excess_noise_gt_1;phot_variable,3,4.214180153338947,277.9129937790609,0.05103792671552246,3.6048782,3.2413723,False,0.0,92420,,92420,False,True,92420,,,,,,,
gaia_dr3,2093931938472201600,brightest,brightest:137,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,6.880805959684558,236.11709195546626,0.06968756994679759,2.922179,4.7713146,False,0.0,92791,,92791,False,True,92791,,,,,,,
gaia_dr3,2106630885454013184,brightest,brightest:35,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,83.80432195036403,95.78167534271242,0.025251388618925945,2.3616831,2.949213,False,0.0,92862,,92862,False,True,92862,,,,,,,
gaia_dr3,2610370969483589888,brightest,brightest:119,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,35.99985835111511,111.90689243313807,0.026368026377759247,2.8595295,3.0961146,False,0.0,112961,,112961,False,True,112961,,,,,,,
gaia_dr3,2616132101175335936,nearest,nearest:440,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,555.64445099426,11.144047349700495,0.0015049017864431798,12.901172,1.7657597,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,2713996126469641984,brightest,brightest:422,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,,,,3.7052495,,False,0.0,114347,,114347,False,True,114347,,,,,,,
