catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_query,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,high_pm,11,3864972938605115520,164.10319030755974,7.002726940984864,2016.0,415.17941567802137,0.06837086,-3866.3382751436793,0.08130645,-2699.214987679166,0.06910815,0.8353354,95,0,False,15,0.5361268,0.11572574,3,0,11.038391,722.8211,13.770287,232.04747,9.58545,504.92255,1.6632524,4.1848364,NOT_AVAILABLE,,4715.329596916089,4715.329596916088,2.408597252748958,0.00016467785675993774,,0
gaia_dr3,high_pm,12,6412595290592307840,330.8724078795965,-56.79725466122902,2016.0,274.8431415216296,0.09561499,3966.6605387484133,0.08557088,-2536.1919868044724,0.09221277,1.1482686,31,0,False,23,0.8326351,0.13377583,0,0,4.322904,1351.7102,4.9079766,1759.8151,3.610557,510.43973,1.2343402,1.2974195,NOT_AVAILABLE,4560.303,4708.148853168841,4708.148853168841,3.638438981826665,0.00034788931443862964,,0
gaia_dr3,high_pm,13,6412596012146801152,331.07645259656397,-56.79381206688221,2016.0,270.6580324694526,0.6895573,3981.97666296105,0.6016568,-2466.8318147663504,0.6256827,4.2955413,95,0,False,22,5.842894,0.90142024,8,0,18.030664,204.47124,21.142073,5.9439673,16.060108,99.694275,2.6261399,5.0819645,NOT_AVAILABLE,,4684.164530277503,4684.164530277503,3.6946991407427134,0.0025477068152296315,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,high_pm,14,778947814402602752,166.34205974427476,43.53094856108456,2016.0,203.8875927696954,0.033240344,-4406.469178827325,0.03108808,938.5266266886065,0.02773793,0.9393333,95,0,False,17,0.15879498,0.046801426,0,0,7.912665,2273.6614,8.982041,1130.9863,6.8778634,2319.9983,1.362617,2.104178,NOT_AVAILABLE,3382.1968,4505.308297215481,4505.308297215481,4.90466333147386,0.0001630326981834501,,0
gaia_dr3,high_pm,15,778947608243864320,166.35208967877313,43.52590762036144,2016.0,203.83234385738783,0.050037432,-4339.849578444107,0.044766206,960.6961306272715,0.04143234,1.0334092,31,0,False,18,0.3197861,0.067739755,0,0,12.257253,1318.2294,14.709731,142.58647,10.854758,720.58185,1.6075923,3.8549728,NOT_AVAILABLE,,4444.910732390888,4444.910732390888,4.905992744211656,0.00024548328059744,,0
gaia_dr3,high_pm,16,3195919528989223040,63.80795300602079,-7.6680778150199815,2016.0,199.6080124181338,0.12083028,-2240.0849838923477,0.13507964,-3421.8086201704023,0.09439368,1.9449321,95,0,False,16,0.7966543,0.20430206,0,0,4.179894,1080.1932,4.610995,1816.4636,3.5697494,362.00406,1.2259238,1.0412455,NOT_AVAILABLE,,4089.835567370949,4089.835567370949,5.009818934047725,0.0006053378374201702,ruwe_gt_1p4,1
gaia_dr3,high_pm,17,3195919254111314816,63.82965602087436,-7.670903382610344,2016.0,199.45161859738874,0.069206245,-2247.1829426127065,0.06516677,-3409.8237087898747,0.053521328,1.5311921,95,0,False,18,0.5614569,0.09145547,0,0,9.775309,1095.7296,11.490885,686.8615,8.501209,1737.293,1.5103394,2.9896755,NOT_AVAILABLE,,4083.7150858740183,4083.715085874018,5.013747228688032,0.00034698262029774976,ruwe_gt_1p4,1
gaia_dr3,high_pm,18,3195919254111315712,63.830787524383176,-7.672952135407352,2016.0,199.6910732720413,0.05120331,-2236.168749069785,0.047661513,-3338.9552892508973,0.038766496,1.1953526,95,0,False,18,0.4051379,0.0668597,0,0,9.54224,1672.2394,9.481124,1320.1162,9.672128,2275.34,1.1406847,-0.1910038,NOT_AVAILABLE,,4018.5909343864387,4018.5909343864387,5.007735116119533,0.0002564126160006147,,0
gaia_dr3,high_pm,19,3713594960831605760,204.11607940811783,3.674479286708736,2016.0,119.75661648253032,0.030381203,-3735.8392446179887,0.025654508,-1113.5811368534298,0.018202309,1.0317168,95,0,False,16,0.0,0.036687147,0,0,14.376431,4325.9243,14.870136,862.437,13.721761,1535.8271,1.2295154,1.1483755,NOT_AVAILABLE,,3898.2762613729265,3898.2762613729265,8.350269315982858,0.0002536912246697101,,0
gaia_dr3,high_pm,20,5853498713190525696,217.39232147200883,-62.67607511676666,2016.0,768.0665391873573,0.049872905,-3781.741008265163,0.031386077,769.4650146478623,0.050524533,0.97145325,95,0,False,26,0.48888475,0.076739505,11,0,8.984749,1527.8928,11.373116,420.41574,7.5685353,618.5337,1.6316793,3.8045802,NOT_AVAILABLE,2829.3542,3859.2280915179717,3859.2280915179717,1.3019705311704333,6.493305263462304e-05,ipd_frac_multi_peak_gt_10,1
gaia_dr3,high_pm,21,411413822074322432,17.094749861202942,54.91320397755905,2016.0,130.28806976927032,0.4347771,3468.251393146748,0.3536465,-1564.8444473117734,0.36520144,6.9658175,31,0,False,22,3.7400494,0.65882677,0,0,4.9480124,2055.8696,5.326608,2419.4705,4.4043818,572.0851,1.2062052,0.9222264,NOT_AVAILABLE,,3804.9317826140914,3804.9317826140914,7.675299831910316,0.003337044685557192,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,high_pm,22,3139847906307949696,111.85462844259372,5.209382701706996,2016.0,264.12689775460655,0.04127979,571.2323467293181,0.04458072,-3691.4865653792745,0.03559047,1.2387705,95,0,False,15,0.30759868,0.065019734,0,0,8.576388,1456.941,10.111705,905.9199,7.3539467,1198.4711,1.4740787,2.7577581,NOT_AVAILABLE,3024.395,3735.4222594407656,3735.4222594407656,3.7860589303898693,0.00015628771401656418,,0
gaia_dr3,high_pm,23,6307374845312759552,227.54990698061226,-16.395153824967906,2016.0,34.01749515269914,0.015016413,-998.0641037990117,0.017678851,-3542.267036821717,0.0136327725,0.9323361,31,0,False,15,0.063357,0.025056498,0,0,8.827628,6515.5474,9.242902,3802.379,8.230743,2888.6975,1.2241206,1.0121584,NOT_AVAILABLE,5022.5103,3680.1885434642923,3680.1885434642927,29.396638274251487,0.00044143206977387956,,0
gaia_dr3,high_pm,24,6307365499463905536,227.5493943951268,-16.478656567541872,2016.0,34.02659807017683,0.016919091,-1000.8436329401763,0.018756745,-3540.080314753215,0.014429649,1.2100414,31,0,False,14,0.08727125,0.026443975,0,0,9.156363,5124.695,9.623489,3037.2793,8.516408,3196.981,1.2305645,1.1070814,NOT_AVAILABLE,4845.9536,3678.839030523096,3678.839030523096,29.388773980213625,0.0004972313514558693,,0
gaia_dr3,high_pm,25,1711005951573009792,267.4081765462069,82.78863973768209,2016.0,61.17533188584654,0.01278488,-1436.9077614373487,0.014326312,3314.4372359376794,0.015916353,0.94133276,31,0,False,28,0.0,0.022387374,0,0,14.21691,3523.4324,14.392744,1029.2574,13.904995,1213.1111,1.1778082,0.4877491,NOT_AVAILABLE,,3612.5057931924616,3612.5057931924616,16.34645810938966,0.00020898749970825768,,0
gaia_dr3,high_pm,26,6281432246412503424,221.07095495394782,-20.332461218632645,2016.0,58.14266732157678,0.12268644,-2908.634168825205,0.13986881,-1960.9159973148467,0.1252689,0.962613,95,0,False,14,0.79004365,0.21292847,0,0,16.627302,612.28766,20.28971,10.327522,15.084134,337.68738,1.7685885,5.205575,NOT_AVAILABLE,,3507.897415344806,3507.897415344806,17.199073349510737,0.0021100930506663153,,0
gaia_dr3,high_pm,27,6583272171336048640,319.2950181380955,-38.872456400701786,2016.0,251.9124222107058,0.03516071,-3258.966218702396,0.029930007,-1145.8623969124255,0.025867643,0.8343736,95,0,False,17,0.19933948,0.047897194,1,0,5.984104,2907.7864,6.8927255,1694.2078,5.0391383,736.2035,1.31914,1.8535872,NOT_AVAILABLE,,3454.542147275277,3454.542147275277,3.9696335386096013,0.00013957513037240365,,0
gaia_dr3,high_pm,28,5140693571158739840,24.771554293454546,-17.948299887129313,2016.0,367.71189618147696,0.74180114,3385.315810465071,0.67216444,544.3863845619521,0.3787539,12.367461,31,0,False,16,4.83881,0.9893841,9,0,10.507542,1439.128,12.820644,194.82921,9.067688,86.96797,1.6715958,3.7529564,NOT_AVAILABLE,,3428.807325044849,3428.807325044849,2.7195203918735054,0.0020173433342675013,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,high_pm,29,5140693571158946048,24.771674208211856,-17.947682860008488,2016.0,373.8443122683992,0.50087124,3178.6942575748953,0.42692018,584.0613350385156,0.30229247,10.453167,95,0,False,17,3.8557587,0.5988125,10,0,10.817838,538.3399,13.252207,108.16757,9.423653,70.54292,1.5971872,3.8285542,NOT_AVAILABLE,,3231.9073047082566,3231.9073047082566,2.674910296032687,0.001339785639785485,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
