catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,high_pm,398,80229,,5,0,245.67281963,-48.65438182,41.77,3.59,-585.02,-479.13,11.8774,1.45,HIP1,756.1838118473577,23.940626,0.08594685,,0
hipparcos2,high_pm,399,55848,D,95,3,171.69459788,3.00586339,55.69,1.46,-730.81,188.97,7.6968,1.002,HIP1,754.8462870015325,17.956545,0.026216557,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,high_pm,400,74555,,5,0,228.50030716,-3.79836543,37.04,1.75,-739.45,151.11,9.9387,1.117,HIP1,754.7320945872118,26.997839,0.047246218,,0
hipparcos2,high_pm,401,94557,,5,0,288.66474375,19.31664408,52.4,2.94,-617.45,433.25,11.618,1.5,HIP1,754.2877865907681,19.08397,0.05610687,,0
hipparcos2,high_pm,402,4454,,5,0,14.26352059,69.04402227,40.9,0.89,714.93,-234.41,9.254,1.025,HIP1,752.3781981158146,24.449877,0.02176039,,0
hipparcos2,high_pm,403,96124,,5,0,293.16785023,-28.0179873,36.72,0.95,71.37,-748.96,7.2819,0.675,HIP1,752.3528151738385,27.233114,0.02587146,,0
hipparcos2,high_pm,404,15904,,5,0,51.20843018,12.25777967,12.47,2.19,570.69,-490.18,10.8631,0.571,HIP1,752.305462229273,80.19246,0.1756215,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,405,948,,5,0,2.92120678,-39.22964005,29.67,1.57,740.24,-126.78,10.0836,1.071,HIP1,751.0182594318197,33.70408,0.052915405,,0
hipparcos2,high_pm,406,71311,,5,0,218.74296079,33.7461358,49.43,1.07,-710.72,242.28,9.655,1.283,HIP1,750.881160237757,20.230629,0.021646773,,0
hipparcos2,high_pm,407,116745,,5,0,354.90462515,-72.72036424,87.56,0.51,141.94,-736.82,7.2148,0.989,HIP1,750.3670275271962,11.42074,0.0058245775,,0
hipparcos2,high_pm,408,73385,,5,0,224.95881911,-22.01150883,10.23,0.84,-558.49,-500.37,8.6677,0.51,HIP1,749.854130481389,97.75172,0.08211144,,0
hipparcos2,high_pm,409,70924,,5,2,217.5599727,-46.94953954,28.89,1.87,-635.41,-397.86,10.2805,1.185,HIP1,749.6922353206014,34.614056,0.06472828,,0
hipparcos2,high_pm,410,17378,,5,0,55.81231675,-9.76519869,110.61,0.22,-93.16,743.64,3.6796,0.915,HIP1,749.4526237194717,9.040773,0.0019889702,,0
hipparcos2,high_pm,411,90306,,5,0,276.38327298,38.3553295,40.35,1.84,-77.08,-744.0,11.3652,1.442,HIP1,747.9821698409662,24.783148,0.045600995,,0
hipparcos2,high_pm,412,55846,D,95,3,171.69060722,3.0126595,56.35,0.75,-725.74,180.67,6.6337,0.778,HIP1,747.8904976666036,17.74623,0.0133096725,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,high_pm,413,115194,,5,0,349.99074688,28.86797352,30.19,1.04,742.24,-82.29,8.9993,0.811,HIP1,746.7876951985752,33.12355,0.03444849,,0
hipparcos2,high_pm,414,47780,,1,2,146.12593153,-45.77508748,101.31,3.18,-461.73,-584.28,10.0117,1.53,HIP1,744.6997457364948,9.870694,0.031388808,hip_solution_type_not_5,1
hipparcos2,high_pm,415,53523,,5,0,164.25256744,41.88513042,20.61,1.16,-686.05,-286.36,9.8524,0.808,HIP1,743.4155312474982,48.520134,0.056283355,,0
hipparcos2,high_pm,416,7981,,75,4,25.62479066,20.27015048,132.76,0.5,-302.42,-678.88,5.3905,0.836,HIP1,743.1930508286524,7.5323896,0.0037661947,hip_solution_type_not_5,1
hipparcos2,high_pm,417,58114,,5,0,178.7818492,0.97368174,38.05,2.85,-740.98,33.79,11.5571,1.419,HIP1,741.7500417930559,26.28121,0.07490145,,0
hipparcos2,high_pm,418,105341,,5,0,320.05803604,-19.85053167,61.65,1.13,-172.5,-721.21,9.1883,1.34,HIP1,741.5525025916911,16.2206,0.018329278,,0
hipparcos2,high_pm,419,7902,,5,0,25.40291724,66.91058855,26.84,0.78,691.94,-264.96,7.8381,0.691,HIP1,740.9350613920225,37.257824,0.029061101,,0
hipparcos2,high_pm,420,105679,,5,0,321.07387056,-46.69295574,39.62,4.61,738.77,-53.11,12.5382,1.52,HIP1,740.6765724660123,25.239779,0.11635538,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,421,80679,,5,2,247.07121463,44.6789738,9.27,1.8,-271.14,-688.77,11.4722,0.735,HIP1,740.2168685594783,107.87486,0.19417474,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,422,69963,,5,0,214.74822467,38.64121472,27.22,2.64,-701.36,-235.44,11.5939,1.39,HIP1,739.82284582189,36.737694,0.096987516,,0
hipparcos2,high_pm,423,99096,,5,0,301.77151968,-19.42298441,29.79,4.06,-400.79,-621.71,11.6486,1.208,HIP1,739.6999041503251,33.56831,0.13628733,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,424,95223,,5,0,290.59106107,33.88324633,33.73,1.25,122.12,728.28,9.9441,1.603,HIP1,738.4477319350368,29.6472,0.037058998,,0
hipparcos2,high_pm,425,9007,,7,1,28.98680221,-51.60958691,56.02,0.38,680.92,283.46,3.8511,0.844,HIP1,737.5646534372427,17.850767,0.0067832917,hip_solution_type_not_5,1
hipparcos2,high_pm,426,59532,,5,0,183.1216539,-3.08549193,28.69,0.46,-606.55,419.06,7.5647,0.701,HIP1,737.2341460485942,34.85535,0.016033461,,0
hipparcos2,high_pm,427,4872,,5,0,15.65812122,62.34482819,100.4,1.52,731.52,90.43,9.6141,1.463,HIP1,737.0882547565114,9.960159,0.015139442,,0
