source_id,original_ext_source_id,angular_distance,score,xm_flag
5153091836072107136,14101,0.28214934,7.816326634644041,72
5337891256535666176,54463,0.003006253,13.126643517488487,8
4683897617110115200,2021,0.01777542,13.449716659198948,8
4293318823182081408,94761,0.0030842482,8.654180285281088,8
4375233191015944192,85295,0.0033975467,8.493592003582025,72
4472097420946809600,87108,0.0084809875,12.73992128896024,8
4240272953377646592,97804,0.0033534989,14.006881249651233,8
3864615459886222464,53020,0.00277411,17.76537264891512,8
5114760146310175488,17593,0.012880276,10.654859292473372,8
4984184825454337408,6351,0.0010089087,19.62947517073423,8
4810594479418041856,24186,0.33644995,4.786760018588207,72
4936685751336237056,10602,0.0051854113,16.381653071791895,8
4109034455276324608,84478,0.0045899157,4.173493591759307,8
4878631812268014464,21393,0.004714882,16.993875022268476,8
4572835535272627712,83043,0.0013162394,18.462575993278925,8
3992011061833780096,54951,0.01916274,11.325972907380207,8
4314399312979641728,93747,0.011185328,10.28473447768683,8
4482432246132106496,88771,0.01106743,11.313351304289817,8
4426032591025363200,77622,0.006267602,15.41482510728268,8
5412250540681250560,47780,0.014202245,7.51769601649679,72
4722111590409480064,15330,0.0011481054,19.0342989736794,8
5250032958818831360,47854,0.0037655635,13.727541183189349,8
4911306239828325760,7751,0.11866345,10.037841958415479,72
4775977077371116672,21281,1.2637532,0.0061004603253584375,16
4609802834185436928,87808,0.0050380337,15.095599415269577,8
3936909723803146368,64797,0.05954657,10.671007862534031,72
5260759175761502976,31292,0.032195862,8.572726230618716,8
3988987164339438208,53767,0.0016061867,19.20076359749702,8
4418203587193988480,74537,0.005298715,10.48299495945871,72
4473334474604992384,86742,0.0086036,12.785135610840037,8
4156500578347841408,91117,0.0031671058,13.418541176978467,8
4929469381645492864,7083,0.0061245826,15.230803071129197,8
4084834822776246272,93085,0.004133718,12.539165350232455,8
4076915349846977664,90496,0.019432772,7.305869566417417,8
4034171629042489088,57939,0.047167677,10.945899834307367,72
4031586157514097024,57802,0.0014245431,19.27408663208475,8
4278722497040124032,91668,0.00859278,6.454120627167201,8
4337352305320149760,81377,0.060235914,2.4122016359956566,8
4857520536178521344,18180,0.005627829,15.078021011051883,8
5195968563310843008,46120,0.0018441001,16.520872304686584,8
5199386085968886528,51839,0.008263766,13.20305173465953,8
4529285391533766400,90139,0.005707581,12.854644668185188,8
3840711729206827520,46655,0.011031871,10.842000685421029,8
4310275491469537152,92871,0.0029234258,13.83732929329465,8
4429785739602747392,77070,0.0039145076,15.094807230480104,8
4629125170492116224,17678,0.0019129469,15.751887914027877,8
4364527594192166400,83591,0.0032842509,7.781012187451627,8
4356298849169862784,79882,0.014728177,10.108646549150551,8
5136659462996725888,9347,0.0018592675,18.171532610266972,8
4679407039823519232,18744,0.0033308042,16.693064420168024,8
5239828735016184448,52419,0.055641938,6.579584824939999,8
3828238392559860992,49986,0.0029011304,17.649864950995088,8
4302054339959905920,97278,0.026992677,4.736951108245382,8
4330690742322011520,80824,0.006015035,8.979782947573826,72
5253796346624992128,51576,0.029406678,4.860200677594919,8
5134635708766250752,8768,0.0018593447,17.95617925075577,8
5249119024128109952,48002,0.025362778,5.198287769509756,8
4389844948935164544,85665,0.0021319778,13.510530815234624,8
5260759175761501696,31293,0.014173236,9.553018571786772,72
5540591825707339648,40091,0.0048128795,14.136352176175643,8
4776266794388393472,22738,0.02658855,10.330724952456412,72
5300734910309994240,45496,0.006542087,11.979893381828331,8
4610177733290768896,88972,0.0008992271,18.476631830666427,8
5263150888430619904,37504,0.0059412248,14.426525566333607,8
4840356816072211712,19747,0.007336953,15.720947667899615,8
5412947081295024896,48331,0.0019913719,12.987444706231516,8
4951967794731342464,12486,0.0040426096,17.015453962596116,8
5512070906394195968,36377,0.04586243,8.714592133078684,8
5538814190283894656,37819,0.0005503416,14.530381293352868,8
4679700059672168960,18597,0.002505719,16.70593872956624,8
5269012591076800256,35228,0.012276833,13.23379096201707,8
5332606522595645952,57367,0.0104505485,6.530204006833892,72
4025850731201819392,56997,0.0017506505,18.550872174529577,8
4358031335898505472,81300,0.0033260065,12.967127100335851,8
3910661735547769344,55988,0.00020989918,19.541094707116116,8
3928391218812375808,61706,0.0011976497,18.53801396113941,8
4803692295174064256,28328,0.009216029,13.781323944718679,8
